,vote_average,revenue
313,6.3,189833357.0
314,8.5,28341469.0
315,7.0,0.0
316,6.0,102780.0
317,7.1,0.0
318,6.7,0.0
319,6.0,0.0
320,5.7,0.0
321,7.7,0.0
322,5.5,4064495.0
323,6.7,0.0
324,6.4,120000000.0
325,5.4,12000000.0
326,5.8,0.0
327,5.6,0.0
328,6.8,32648673.0
329,6.1,0.0
330,5.6,0.0
331,6.6,0.0
332,7.5,10032765.0
333,5.4,24048000.0
334,6.5,182057016.0
335,6.3,0.0
336,5.5,759393.0
337,6.9,15119639.0
338,5.3,0.0
339,6.4,107217396.0
340,7.2,11220670.0
341,6.2,0.0
342,7.0,1862805.0
343,7.0,0.0
344,6.4,215887717.0
345,6.4,117615211.0
346,6.4,0.0
347,6.7,0.0
348,7.3,94000000.0
349,6.1,1007583.0
350,5.0,341631208.0
351,8.2,677945399.0
352,6.6,254700832.0
353,6.4,38290723.0
354,6.3,1777020.0
355,5.3,61947267.0
356,6.1,0.0
357,5.9,0.0
358,7.3,449707.0
359,8.0,788241776.0
360,6.0,4858139.0
361,6.4,18090181.0
362,6.6,351583407.0
363,6.6,0.0
364,6.3,0.0
365,6.4,51132598.0
366,6.1,0.0
367,6.5,20079850.0
368,6.4,2000000.0
369,5.4,0.0
370,4.9,0.0
371,6.1,0.0
372,6.8,350448145.0
373,5.5,0.0
374,5.5,101646581.0
375,6.8,378882411.0
376,6.0,50021959.0
377,6.0,0.0
378,6.5,25052000.0
379,4.9,0.0
380,6.5,953.0
381,6.1,0.0
382,6.0,29392418.0
383,2.0,0.0
384,5.9,0.0
385,6.5,0.0
386,5.9,20851521.0
387,7.1,0.0
388,4.1,99423521.0
389,6.7,0.0
390,0.0,0.0
391,6.3,0.0
392,3.4,0.0
393,7.5,0.0
394,10.0,0.0
395,0.0,0.0
396,4.0,0.0
397,0.0,0.0
398,5.0,0.0
399,4.0,0.0
400,4.5,36800000.0
401,5.0,0.0
402,7.1,8946600.0
403,7.2,0.0
404,6.7,0.0
405,6.5,48919043.0
406,4.5,0.0
407,7.0,32255440.0
408,5.8,0.0
409,5.1,21011500.0
410,4.9,0.0
411,4.6,15240435.0
412,6.6,0.0
413,5.0,0.0
414,5.0,0.0
415,5.5,119208989.0
416,6.6,0.0
417,6.3,16668552.0
418,6.0,30156002.0
419,5.7,0.0
420,6.1,0.0
421,5.8,428868.0
422,4.5,1796389.0
423,7.4,17287898.0
424,4.9,3662459.0
425,3.7,2570145.0
426,7.7,36516012.0
427,4.9,0.0
428,5.7,7355425.0
429,6.1,255000211.0
430,4.8,0.0
431,5.4,19726050.0
432,5.0,0.0
433,5.1,0.0
434,5.4,0.0
435,6.3,63000000.0
436,7.4,7993039.0
437,6.4,159055768.0
438,7.1,0.0
439,4.2,0.0
440,5.4,0.0
441,7.8,0.0
442,3.3,0.0
443,6.8,0.0
444,5.8,0.0
445,6.1,0.0
446,6.2,9488998.0
447,4.3,0.0
