actor1,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Joe Boyd,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Robert F. Boyle,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Krzysztof Globisz,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Robert Kennedy Jr,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Paul Hough,9.0,1,9.0,71.0,4649.5,2360.25,595.5
Thiago da Silva Mariz,9.0,1,9.0,71.0,4649.5,2360.25,595.5
David Tennant,6.577777777777779,9,59.20000000000001,4128.0,597.0,2362.5,611.0
Aldo Baglio,6.577777777777778,9,59.2,4129.0,598.0,2363.5,612.0
Bill Maher,6.6499999999999995,6,39.9,3784.5,978.5,2381.5,613.5
Marilyn Monroe,6.6499999999999995,6,39.9,3784.5,978.5,2381.5,613.5
Eva Noblezada,8.9,1,8.9,87.0,4677.5,2382.25,615.0
Matt Damon,6.496000000000001,25,162.40000000000003,4666.0,99.0,2382.5,616.0
Timothy Spall,6.7,5,33.5,3559.0,1209.0,2384.0,617.5
Im Soo-jung,6.7,5,33.5,3559.0,1209.0,2384.0,617.5
Hilary Swank,6.519999999999999,10,65.19999999999999,4244.5,531.0,2387.75,619.0
Neil Young,6.633333333333333,6,39.8,3796.0,982.0,2389.0,620.0
Minako Kotobuki,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Gaspard Augé,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Rodney King,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Essy Persson,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Thilakan,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Bill Mumy,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Walter Vidarte,8.8,1,8.8,91.0,4695.5,2393.25,624.0
Terence Stamp,6.51,10,65.1,4255.0,533.0,2394.0,628.0
Andy Serkis,6.616666666666666,6,39.699999999999996,3810.0,983.0,2396.5,629.0
George A. Romero,7.199999999999999,2,14.399999999999999,1829.5,2966.5,2398.0,631.0
Megumi Han,7.199999999999999,2,14.399999999999999,1829.5,2966.5,2398.0,631.0
Felicitas Woll,7.199999999999999,2,14.399999999999999,1829.5,2966.5,2398.0,631.0
Dirk Bogarde,6.4653846153846155,26,168.1,4710.0,89.0,2399.5,633.0
Bud Abbott,6.4615384615384635,26,168.00000000000006,4711.0,90.0,2400.5,634.0
Marcello Mastroianni,6.433333333333335,33,212.30000000000007,4758.0,47.0,2402.5,635.0
Kristin Scott Thomas,6.6000000000000005,6,39.6,3821.0,985.0,2403.0,636.0
Georges Khabbaz,8.7,1,8.7,96.5,4715.5,2406.0,638.5
Simon Srebnik,8.7,1,8.7,96.5,4715.5,2406.0,638.5
Lisa Pelikan,8.7,1,8.7,96.5,4715.5,2406.0,638.5
Brinsley Forde,8.7,1,8.7,96.5,4715.5,2406.0,638.5
Louis de Funès,6.47391304347826,23,148.89999999999998,4690.0,125.0,2407.5,641.0
Don Knotts,6.575,8,52.6,4135.0,689.0,2412.0,642.0
Alastair Sim,6.574999999999999,8,52.599999999999994,4138.0,690.0,2414.0,643.0
Denzel Washington,6.408108108108109,37,237.10000000000002,4801.0,30.0,2415.5,644.0
Afrika Bambaataa,8.6,1,8.6,101.5,4731.0,2416.25,647.0
Robert Durst,8.6,1,8.6,101.5,4731.0,2416.25,647.0
Miroslav Donutil,8.6,1,8.6,101.5,4731.0,2416.25,647.0
Güven Kıraç,8.6,1,8.6,101.5,4731.0,2416.25,647.0
Pola Chapelle,8.6,1,8.6,101.5,4731.0,2416.25,647.0
Törőcsik Mari,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Lionel Abelanski,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Antonio Gades,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Sheryl Lee,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Paula Beer,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Alan Young,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Daniel Ceccaldi,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Nazriya Nazim,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Stewart Lee,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Jimmy Durante,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Vlastimil Brodský,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Shin Saburi,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Jafar Panahi,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Fernanda Montenegro,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Sylvia Chang,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Regina Casé,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Sabu,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Nick Frost,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Ryunosuke Kamiki,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Yoshiko Okada,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Ayako Wakao,7.15,2,14.3,1851.5,2984.0,2417.75,660.0
Cillian Murphy,6.522222222222222,9,58.7,4236.0,605.5,2420.75,671.0
Tom Cruise,6.412121212121212,33,211.6,4796.0,48.0,2422.0,672.0
Eli Wallach,6.775,4,27.1,3318.0,1534.0,2426.0,674.0
Jack O'Connell,6.775,4,27.1,3318.0,1534.0,2426.0,674.0
Evgeniy Evstigneev,6.775,4,27.1,3318.0,1534.0,2426.0,674.0
Andy Lau,6.4107142857142865,28,179.50000000000003,4798.0,75.0,2436.5,676.5
