direk,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Michel Hazanavicius,7.183333333333334,6,43.1,1968.5,1116.5,1542.5,136.5
Georges Franju,7.183333333333334,6,43.1,1968.5,1116.5,1542.5,136.5
Harald Reinl,7.183333333333333,6,43.099999999999994,1970.0,1119.0,1544.5,138.0
Jacques Tati,7.166666666666667,6,43.0,1980.5,1121.5,1551.0,139.0
Stanley Kubrick,6.9125000000000005,16,110.60000000000001,2893.0,214.0,1553.5,140.0
Tony Kaye,7.866666666666666,3,23.599999999999998,710.0,2409.5,1559.75,141.0
Michael Barnett,7.833333333333333,3,23.5,719.0,2416.0,1567.5,142.0
Steven Spielberg,6.893939393939391,33,227.49999999999991,3121.0,20.0,1570.5,143.0
Stacy Peralta,7.449999999999999,4,29.799999999999997,1314.0,1828.0,1571.0,144.0
Jonathan Miller,7.1499999999999995,6,42.9,2020.0,1126.5,1573.25,145.0
Paolo Sorrentino,7.071428571428572,7,49.50000000000001,2224.0,923.0,1573.5,146.0
Brett Harvey,7.800000000000001,3,23.400000000000002,723.5,2425.5,1574.5,148.5
Jean-Xavier de Lestrade,7.800000000000001,3,23.400000000000002,723.5,2425.5,1574.5,148.5
Kenji Uchida,7.800000000000001,3,23.400000000000002,723.5,2425.5,1574.5,148.5
Junichi Mori,7.800000000000001,3,23.400000000000002,723.5,2425.5,1574.5,148.5
Majid Majidi,7.071428571428571,7,49.5,2225.0,925.0,1575.0,151.0
Jean-Marc Vallée,7.133333333333334,6,42.800000000000004,2025.5,1128.5,1577.0,152.5
Bong Joon-ho,7.133333333333334,6,42.800000000000004,2025.5,1128.5,1577.0,152.5
Ava DuVernay,7.279999999999999,5,36.4,1747.0,1409.5,1578.25,154.0
Richard Curtis,7.425,4,29.7,1322.0,1837.0,1579.5,155.0
Marty Callner,6.921428571428572,14,96.9,2889.0,284.0,1586.5,156.0
Ashutosh Gowariker,7.260000000000001,5,36.300000000000004,1759.0,1414.5,1586.75,157.0
Andrey Zvyagintsev,7.26,5,36.3,1760.0,1418.0,1589.0,158.0
Wilfred Jackson,7.1000000000000005,6,42.6,2049.5,1137.0,1593.25,159.5
John Pilger,7.1000000000000005,6,42.6,2049.5,1137.0,1593.25,159.5
Trey Parker,7.042857142857144,7,49.300000000000004,2274.0,929.0,1601.5,161.0
Ron Fricke,7.8,3,23.4,771.5,2435.0,1603.25,162.0
Terry Zwigoff,7.24,5,36.2,1790.0,1421.5,1605.75,163.0
Miloš Forman,6.93076923076923,13,90.1,2880.0,334.0,1607.0,164.0
Daniel Raim,9.5,2,19.0,81.5,3142.5,1612.0,165.5
Joe DeMaio,9.5,2,19.0,81.5,3142.5,1612.0,165.5
Michel Ocelot,7.219999999999999,5,36.099999999999994,1801.0,1425.5,1613.25,167.0
Agnès Varda,6.99090909090909,11,76.89999999999999,2795.0,434.0,1614.5,168.0
