direk,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Just Jaeckin,5.05,4,20.2,12256.5,2881.0,7568.75,8158.5
Evan Oppenheimer,5.05,4,20.2,12256.5,2881.0,7568.75,8158.5
Victor Kossakovsky,5.05,4,20.2,12256.5,2881.0,7568.75,8158.5
James Yukich,5.05,4,20.2,12256.5,2881.0,7568.75,8158.5
Rob Williams,4.728571428571429,7,33.1,13556.0,1607.5,7581.75,8161.0
Kjell Sundvall,4.714285714285714,7,33.0,13563.0,1613.5,7588.25,8162.0
Charles T. Kanganis,5.025,4,20.1,12286.5,2900.0,7593.25,8164.5
Graham Baker,5.025,4,20.1,12286.5,2900.0,7593.25,8164.5
Craig Clyde,5.025,4,20.1,12286.5,2900.0,7593.25,8164.5
Robert Hall,5.025,4,20.1,12286.5,2900.0,7593.25,8164.5
David DeCoteau,4.21875,16,67.5,14646.0,547.5,7596.75,8167.0
Ekachai Uekrongtham,5.3,3,15.9,11402.0,3796.5,7599.25,8170.5
Malcolm St. Clair,5.3,3,15.9,11402.0,3796.5,7599.25,8170.5
Arne Glimcher,5.3,3,15.9,11402.0,3796.5,7599.25,8170.5
David Mackay,5.3,3,15.9,11402.0,3796.5,7599.25,8170.5
Daryl Wein,5.3,3,15.9,11402.0,3796.5,7599.25,8170.5
Tim Sullivan,5.3,3,15.9,11402.0,3796.5,7599.25,8170.5
Lee Frost,4.98,5,24.900000000000002,12935.5,2263.5,7599.5,8174.5
Eduardo Sánchez,4.98,5,24.900000000000002,12935.5,2263.5,7599.5,8174.5
Earl Bellamy,5.0249999999999995,4,20.099999999999998,12289.0,2911.5,7600.25,8176.0
Rebecca Zlotowski,5.3,3,15.899999999999999,11402.0,3802.5,7602.25,8178.0
Patrick G. Donahue,5.3,3,15.899999999999999,11402.0,3802.5,7602.25,8178.0
Fina Torres,5.3,3,15.899999999999999,11402.0,3802.5,7602.25,8178.0
Bert I. Gordon,4.199999999999999,17,71.39999999999999,14726.5,494.0,7610.25,8180.0
Keoni Waxman,4.35,12,52.199999999999996,14384.5,849.5,7617.0,8181.0
Richard Schickel,4.96,5,24.8,12962.0,2279.5,7620.75,8183.5
Richard Stanley,4.96,5,24.8,12962.0,2279.5,7620.75,8183.5
Luis Llosa,4.96,5,24.8,12962.0,2279.5,7620.75,8183.5
Michael Schaack,4.96,5,24.8,12962.0,2279.5,7620.75,8183.5
Gary David Goldberg,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Robin Hardy,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
André Erkau,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Mabrouk El Mechri,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Stephen Weeks,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Michael Tully,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Àlex Pastor,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Emilio Aragón,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Scott Mann,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
James Mottern,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Ryan Shiraki,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Sophie Barthes,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Umesh Shukla,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Christopher Crowe,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Olatunde Osunsanmi,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Dorian Walker,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Sarah Adina Smith,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Kobun Shizuno,5.699999999999999,2,11.399999999999999,9665.0,5592.0,7628.5,8194.5
Paul Wendkos,4.22,15,63.3,14645.0,626.0,7635.5,8204.0
John Brahm,4.308333333333334,12,51.7,14413.0,861.0,7637.0,8205.0
Curtis Crawford,4.8,6,28.8,13384.0,1891.0,7637.5,8206.0
Lee H. Katzin,4.5874999999999995,8,36.699999999999996,13900.0,1390.0,7645.0,8207.0
Don Chaffey,4.43,10,44.3,14221.0,1073.5,7647.25,8208.0
Joe D'Amato,4.1375,16,66.2,14756.0,569.5,7662.75,8209.0
Daisy von Scherler Mayer,4.671428571428572,7,32.7,13707.0,1629.0,7668.0,8210.0
Greydon Clark,4.363636363636363,11,48.0,14374.0,967.5,7670.75,8211.0
Jeff Kanew,4.55,8,36.4,13936.0,1409.5,7672.75,8212.0
Aaron Norris,4.6571428571428575,7,32.6,13717.5,1639.5,7678.5,8213.5
Harvey Frost,4.6571428571428575,7,32.6,13717.5,1639.5,7678.5,8213.5
James H. White,4.2846153846153845,13,55.699999999999996,14596.0,773.5,7684.75,8215.0
Maurizio Pradeaux,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
S. S. Wilson,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Toby Wilkins,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Jack Ersgard,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Anders Banke,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Mark Goldblatt,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Adam Goldberg,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Konrad Wolf,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Mikhail Kamenetskiy,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Marcelo Galvão,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Charles Matton,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Alice Winocour,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Stacy Cochran,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Konstantin Feoktistov,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Åke Sandgren,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Sook-Yin Lee,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Harry Elfont,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Jonathan Kesselman,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Johanna Hald,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Paul Justman,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Enrique Gato,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Tomasz Wasilewski,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Tomas Portella,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Henry Saine,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Matthias Schweighöfer,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Robert Shaye,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Jeffrey Bloom,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Kevin VanHook,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Clare Peploe,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Reshef Levy,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Inés París,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Clay Glen,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Isabelle Mergault,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
John Paragon,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Predrag Antonijević,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Cécile Telerman,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Jon Alpert,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Frank Simon,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Stuart Beattie,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Luis Prieto,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Hal Sutherland,5.65,2,11.3,9758.0,5623.5,7690.75,8236.0
Timo Koivusalo,4.642857142857143,7,32.5,13742.0,1645.5,7693.75,8257.5
Howard W. Koch,4.642857142857143,7,32.5,13742.0,1645.5,7693.75,8257.5
Romolo Guerrieri,4.5125,8,36.1,13965.0,1423.5,7694.25,8259.0
Rajko Grlić,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Gabriela Tagliavini,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Brian Brough,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Grant Harvey,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Tanit Jitnukul,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Anton Megerdichev,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Adam Simon,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Caroline Thompson,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Bret Wood,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Amy Holden Jones,5.266666666666667,3,15.8,11580.5,3814.0,7697.25,8264.5
Takanori Tsujimoto,5.266666666666667,3,15.799999999999999,11580.5,3825.0,7702.75,8270.5
Stacy Title,5.266666666666667,3,15.799999999999999,11580.5,3825.0,7702.75,8270.5
Manny Coto,4.9,5,24.5,13089.0,2317.5,7703.25,8272.5
Teuvo Tulio,4.9,5,24.5,13089.0,2317.5,7703.25,8272.5
Osamu Dezaki,4.766666666666667,6,28.6,13511.0,1904.0,7707.5,8274.0
Luigi Cozzi,4.766666666666666,6,28.599999999999994,13514.0,1909.0,7711.5,8275.0
Renzo Martinelli,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
James T. Walker,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Penny Panayotopoulou,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Philippe Lesage,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Gia Coppola,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Francis Megahy,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Igor Zaytsev,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Robert Guenette,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
William Maher,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Gennadi Poloka,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jérôme Boivin,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Marcel Roels,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Aleksandr Askoldov,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Anders Johannes Bukh,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Miguel Rey,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Aron Gaudet,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Michael Clancy,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ahmed El Maanouni,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jason Lei Howden,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Paul Rachman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Krzysztof Skonieczny,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Amy Redford,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Martin Sheen,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Steven Caple Jr.,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
I. V. Sasi,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Uwe Heidschötter,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Geoffrey Haley,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Merlin Dervisevic,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Giacomo Talamini,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Dean Wright,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Dennis Todorović,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Evan Glodell,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Betsan Morris Evans,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Derek Lee,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Thomas Vincent,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Simon J. Smith,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
J. Michael Straczynski,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Shirin Neshat,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jannicke Systad Jacobsen,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rick Ernst,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Eric Sykes,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Stephen Merchant,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Hampton Fancher,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Reed Morano,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Barbara Wong Chun-Chun,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Justin Lerner,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Amir Amirani,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Alexandra Lipsitz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Scott Graham,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Zak Hilditch,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Florin Şerban,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Khoa Lê,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
John H. Auer,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Alex Holdridge,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Bradley Kaplan,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sandra Werneck,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Niels Mueller,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Andrew James,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sherman A. Rose,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Krzysztof Lukaszewicz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Maya Angelou,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Mark Linfield,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Reinert Kiil,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jessica Goldberg,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Pauline Chan,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jeff Abugov,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Vicente Ferraz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Douglas Camfield,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jean-Pierre Limosin,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
John Gatins,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Chen Shi-Zheng,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kıvanç Baruönü,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rudi Lagemann,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Igor Dobrolyubov,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Young-Sung Sohn,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ezna Sands,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Vahe Gabuchian,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Mats Stenberg,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Lisa Gottlieb,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kongkiat Khomsiri,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kwang-chun Park,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Katsuhito Akiyama,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Hans Van Nuffel,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Alfred Clark,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Hong Won-chan,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Zero Chou,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Nikolai Müllerschön,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Pavel Parkhomenko,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Michael Noer,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rajiv Menon,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Peter Care,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jason Buxton,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Christopher Caldwell,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Charlie Lyne,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Hilary Birmingham,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Pablo Croce,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ted Bafaloukos,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Erez Tadmor,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Anthony Simmons,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Benjamín Ávila,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Andrea Blaugrund,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Han Jun-hee,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Marco Simon Puccioni,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Mehdi Ben Attia,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Bill Wilson,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Abe Sylvia,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Calvito Leal,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Liv Corfixen,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Dustin Hoffman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
D. Kerry Prior ,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Nick Moore,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Pierre Jolivet,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Richard Blackburn,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ross Kauffman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rik Swartzwelder,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Christian Poveda,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
D.C. Hamilton,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Colm McCarthy,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Liam Gavin,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Shin Jae-Young,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ágúst Guðmundsson,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jiang Xiao,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Eleanor Coppola,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Montxo Armendáriz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Bruce W. Smith,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Nadia Conners,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jonathan M. Shiff,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
William Spicer,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ray Goossens,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Lee Seok-hoon,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Lake Bell,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Yonggang Wu,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kamen Kalev,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Shane Salerno,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Faruk Aksoy,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Tarun Mansukhani,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Adrian Grunberg,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Fábio Barreto,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Adrian Grenier,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Nathanael Coffman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
George Dugdale,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Greg Franklin,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kevin Brodie,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Johannes Nyholm,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Florian Gärtner,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Afia Nathaniel,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sam Kadi,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Tak-Sam Leong,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Mudassar Aziz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jeremiah Zagar,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Dan Eckman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Bradley King,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Nate Parker,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Pascal Morelli,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rockne S. O'Bannon,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Stéphane Rybojad,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Nicolette Krebitz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Abhishek Varman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Simon Stone,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Stian Kristiansen,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sean Foley,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Arnon Goldfinger,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
George C. Scott,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sarah Kernochan,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Adirley Queirós,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rick Beyer,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Rob LaDuca,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Christophe Van Rompaey,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ed Herzog,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Philippe Labro,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Slávek Horák,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Fredrik Bond,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Barak Goodman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sébastien Pilote,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Paul Scheuring,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Chookiat Sakveerakul,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Gabriele Pignotta,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Justin Bare,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jorge Fons,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jon Burton,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Peter Franzén,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Christopher K. Walker,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Wade Gasque,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Miguel Llansó,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Christian Wagner,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Vasili Pichul,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Victor Gonzalez,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Al Szymanski,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Maurice Cloche,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jyoti Swaroop,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Christine Lahti,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Michael Tolajian,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Alberto Arvelo Mendoza,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Sara St. Onge,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jimmy ScreamerClauz,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Patrick Yau,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Dušan Vukotić,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Don McGuire,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kazuhisa Takenouchi,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jesús Salvador Treviño,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Justin Krook,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Brenden Mertens,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Scott Thurman,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jeta Amata,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Joël Vanhoebrouck,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kim Jeong-kwon,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Juan Carlos Tabío,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Michael Schorr,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ganesh Raj,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Irena Salina,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Alphonse Putharen,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Ilya Frez,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jung Sik,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jeong Heung-sun,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Chris Dapkins,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Jennifer Phang,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Gerrard Verhage,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Chris McCoy,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Martin Miehe-Renard,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Arthur Cullipher,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Marçal Forés,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
James Landis,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Marian Dora,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Gregory Widen,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Lian Lunson,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Michael Morrissey,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Alexandra Kondracke,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
Kwon-tae Ahn,6.4,1,6.4,5313.5,10121.5,7717.5,8392.0
