actor2,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Joy Carmichael,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Nikita Mikhajlovsky,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Tracy Middendorf,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Marina Malfatti,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Ahn Gil-kang,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Margo,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
David Richmond-Peck,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Tracie Thoms,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Bogdan Diklić,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Zoey Deutch,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Pistireanu George,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Harald Warmbrunn,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Dvir Benedek,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Pili Groyne,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Natalya Negoda,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Lee Tracy,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
David Patrick Kelly,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Sofia Helin,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Amy E Watson,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Adrian Petriw,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Rei Kikukawa,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Bong Soo Han,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Nikolai Karachentsov,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
James MacArthur,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Judith Evelyn,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Natalie McCurry,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Zhang Zilin,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Simon Van Buyten,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Duilio Del Prete,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Davy Jones,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Belle Chrystall,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Lee Seung-gi,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Zhu Lin,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Ismail Ghaffari,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Death Angel,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Belén López,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Simon Scuddamore,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Amy Birnbaum,6.4,1,6.4,7375.5,11994.0,9684.75,10592.0
Laura Chiatti,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Sverrir Gudnason,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Satoshi Tsumabuki,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Nicholas D'Agosto,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Pat Anderson,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Darin Brooks,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Vanessa Marcil,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Jece Valadão,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Ingeborga Dapkunaite,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Julianne Hough,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Kathy Najimy,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Minka Kelly,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Miguel Ángel Silvestre,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Julie Gayet,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Christopher Russell,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Matt Walsh,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Shiv Pandit,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Jane Adams,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Josephine Bornebusch,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Hubert Koundé,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Lisa Kudrow,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Jack Gordon,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Georges Corraface,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Kevin Durand,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Derek Richardson,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Aubrey de Grey,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Johnny Flynn,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Brinke Stevens,5.45,2,10.9,14046.0,5333.0,9689.5,10811.5
Nick Adams,4.9,4,19.6,16878.5,2537.5,9708.0,10826.0
Isabella Ferrari,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Polly Walker,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Rob Mayes,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Jeffrey DeMunn,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Tara Elders,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Nancy Morgan,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Marcia Strassman,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Anna Chlumsky,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Rebecka Liljeberg,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Arthur Dupont,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
MacLeod Andrews,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
George Baker,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Dee Bradley Baker,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Annika Marks,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Adam Garcia,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Jay Hernandez,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Alex Reid,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Jing Tian,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
John Michael Higgins,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Liam Aiken,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Tomasz Karolak,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Adolfo Quinones,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Edward José,5.449999999999999,2,10.899999999999999,14076.5,5359.5,9718.0,10838.0
Ann Dvorak,4.485714285714286,7,31.4,18141.0,1305.0,9723.0,10850.0
Peter Fonda,4.55,6,27.3,17853.5,1597.5,9725.5,10851.0
John Rhys-Davies,4.457142857142856,7,31.199999999999996,18149.0,1317.5,9733.25,10852.0
Patsy Kensit,4.533333333333333,6,27.2,17870.0,1607.0,9738.5,10853.0
Gary Busey,4.7,5,23.5,17491.0,2006.0,9748.5,10854.5
Susan Hampshire,4.7,5,23.5,17491.0,2006.0,9748.5,10854.5
Kim Coates,4.875,4,19.5,16988.0,2555.0,9771.5,10857.0
Denis Podalydès,4.875,4,19.5,16988.0,2555.0,9771.5,10857.0
Steven Bauer,4.875,4,19.5,16988.0,2555.0,9771.5,10857.0
Lorenza Izzo,4.85,4,19.4,17014.5,2572.5,9793.5,10859.5
Lesley-Anne Down,4.85,4,19.4,17014.5,2572.5,9793.5,10859.5
Vivica A. Fox,4.680000000000001,5,23.400000000000002,17601.0,2013.5,9807.25,10861.0
Tony Shalhoub,4.68,5,23.4,17602.0,2019.5,9810.75,10862.0
Louise Fletcher,4.825,4,19.3,17052.0,2586.5,9819.25,10864.0
Philippe Leroy,4.825,4,19.3,17052.0,2586.5,9819.25,10864.0
Ernie Hudson,4.825,4,19.3,17052.0,2586.5,9819.25,10864.0
Maiara Walsh,4.659999999999999,5,23.299999999999997,17623.0,2033.0,9828.0,10866.0
Pete Townshend,4.800000000000001,4,19.200000000000003,17060.0,2597.0,9828.5,10867.5
Krysten Ritter,4.800000000000001,4,19.200000000000003,17060.0,2597.0,9828.5,10867.5
Michael Madsen,4.385714285714286,7,30.700000000000003,18334.0,1351.5,9842.75,10869.0
Embeth Davidtz,4.64,5,23.2,17652.0,2039.0,9845.5,10870.0
Fábio Porchat,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Torrey DeVitto,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Leslie Bibb,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Nancy Guild,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Françoise Robertson,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Dennis Price,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Hana Laslo,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Joe Manganiello,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Douglas Smith,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Denis Lavant,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
James Norton,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Drew Fuller,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Kelli Williams,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
America Ferrera,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Will Rogers,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Sebastian Shaw,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Sonny Tufts,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Gianni Garko,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Justin Urich,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Patrick Bruel,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Vas Blackwood,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Rachelle Lefevre,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Robert Sean Leonard,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Marius Jampolskis,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Richard Lewis,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Spike Jonze,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
D. B. Sweeney,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Gabino Rodríguez,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Leïla Bekhti,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Diane Ladd,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Stomy Bugsy,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Mimi Rogers,4.385714285714285,7,30.7,18335.0,1357.0,9846.0,10889.5
Lawrence Michael Levine,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Daniel Tosh,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Diego Boneta,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Fay Spain,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Caroline Williams,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
James Shigeta,5.4,2,10.8,14301.5,5390.5,9846.0,10889.5
Michael Lerner,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Lisa Eichhorn,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Dmitriy Kharatyan,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Caroll Spinney,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Zach Gilford,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Melissa Moore,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Jack Taylor,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Nicollette Sheridan,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Richard Thomas,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Felicia Farr,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Red Buttons,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Reiley McClendon,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Björn Gustafson,5.0,3,15.0,16271.0,3426.0,9848.5,10915.0
Kelly Lynch,4.371428571428571,7,30.599999999999998,18339.0,1369.0,9854.0,10922.0
Bokeem Woodbine,4.62,5,23.1,17663.5,2049.5,9856.5,10923.5
Brendan Fehr,4.62,5,23.1,17663.5,2049.5,9856.5,10923.5
Dan Dailey,4.166666666666667,9,37.5,18760.0,961.0,9860.5,10925.0
Craig Fairbrass,4.8,4,19.2,17199.5,2605.5,9902.5,10926.5
Jean-Claude Van Damme,4.8,4,19.2,17199.5,2605.5,9902.5,10926.5
Dennis Morgan,4.449999999999999,6,26.699999999999996,18161.0,1653.5,9907.25,10928.0
Ned Beatty,4.0,11,44.0,19092.0,735.0,9913.5,10929.0
Miriam  Hopkins,4.416666666666667,6,26.500000000000004,18168.5,1662.5,9915.5,10930.0
Nina Foch,4.416666666666667,6,26.5,18168.5,1666.5,9917.5,10931.0
Catherine Spaak,4.2,8,33.6,18695.0,1162.5,9928.75,10932.0
Maria Bonnevie,4.58,5,22.9,17832.0,2070.5,9951.25,10933.0
Jason London,4.5600000000000005,5,22.8,17840.5,2079.0,9959.75,10934.5
Mary-Kate Olsen,4.5600000000000005,5,22.8,17840.5,2079.0,9959.75,10934.5
Franco Nero,4.175,8,33.4,18756.0,1173.0,9964.5,10936.0
Robert Walker,4.54,5,22.7,17863.5,2091.0,9977.25,10937.5
Virna Lisi,4.54,5,22.7,17863.5,2091.0,9977.25,10937.5
Danny Trejo,4.1499999999999995,8,33.199999999999996,18774.0,1182.5,9978.25,10939.0
Koji Yakusho,4.775,4,19.1,17338.5,2620.0,9979.25,10940.5
Kim Hye-soo,4.775,4,19.1,17338.5,2620.0,9979.25,10940.5
Michael Segerström,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Miroslav Donutil,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Tanya Roberts,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Tracy Spiridakos,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Sean Combs,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Faizon Love,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Mädchen Amick,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Stephen Moyer,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Michael Gross,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Deborah Foreman,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Vera Kholodnaya,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
James Parks,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
John Anderson,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Blake Lively,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Henry Winkler,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Roberta Collins,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Moisés Arias,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
AJ Bowen,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Griffin Dunne,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Mac Davis,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Cheryl Hines,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Alexandra Lamy,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Phylicia Rashād,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Betty Hutton,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Steven Eckholdt,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Doug E. Doug,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Margaret O'Brien,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Susan Damante,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Sanne Langelaar,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
"Al Freeman, Jr.",5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Rainer Werner Fassbinder,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Ed Speleers,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Isabella Leong,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Patricia Morison,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Aleksandr Filippenko,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Chris D'Elia,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Dakota Blue Richards,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Jennifer Jayne,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Mari Shiraki,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Jacqueline Kim,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Mariah Carey,5.35,2,10.7,14538.0,5431.0,9984.5,10962.0
Mara Corday,4.7749999999999995,4,19.099999999999998,17340.5,2629.5,9985.0,10983.0
Richard Lynch,4.52,5,22.599999999999998,17880.0,2104.0,9992.0,10984.0
Riley Smith,4.285714285714286,7,30.0,18599.0,1401.5,10000.25,10985.0
Renato Pozzetto,4.3999999999999995,6,26.4,18328.5,1675.5,10002.0,10986.0
Julie Adams,4.271428571428571,7,29.900000000000002,18603.0,1408.0,10005.5,10987.0
Ann Harding,4.366666666666667,6,26.200000000000003,18341.0,1689.0,10015.0,10988.0
Ida Galli,4.257142857142857,7,29.8,18612.0,1418.5,10015.25,10989.0
Adam Storke,4.3500000000000005,6,26.1,18345.0,1701.0,10023.0,10990.0
Tom Sizemore,4.1,8,32.8,18842.0,1205.5,10023.75,10991.0
Cameron Mitchell,4.7250000000000005,4,18.900000000000002,17390.0,2659.5,10024.75,10992.0
Jeffrey Tambor,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Ashton Holmes,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Dirk Benedict,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Kristina Klebe,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Melvil Poupaud,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Dustin Milligan,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Sam Dalton,5.300000000000001,2,10.600000000000001,14604.0,5456.5,10030.25,10996.0
Gabrielle Anwar,4.228571428571429,7,29.6,18636.5,1430.5,10033.5,11000.0
Danny Aiello,4.228571428571429,7,29.599999999999998,18636.5,1432.0,10034.25,11001.0
Howard Hesseman,4.333333333333333,6,26.0,18360.5,1713.5,10037.0,11002.0
Preston Foster,4.0625,8,32.5,18905.0,1234.5,10069.75,11003.0
John Boles,4.050000000000001,8,32.400000000000006,18910.5,1237.5,10074.0,11004.0
John Diehl,4.966666666666667,3,14.9,16720.0,3447.0,10083.5,11005.0
Benjamin Bratt,4.966666666666666,3,14.899999999999999,16722.5,3455.5,10089.0,11007.5
Travis Van Winkle,4.966666666666666,3,14.899999999999999,16722.5,3455.5,10089.0,11007.5
Joshua Bowman,4.966666666666666,3,14.899999999999999,16722.5,3455.5,10089.0,11007.5
Chris Carmack,4.966666666666666,3,14.899999999999999,16722.5,3455.5,10089.0,11007.5
Michael Nouri,4.7,4,18.8,17491.0,2689.0,10090.0,11010.5
Jack Benny,4.7,4,18.8,17491.0,2689.0,10090.0,11010.5
Stefania Casini,4.933333333333334,3,14.8,16765.0,3472.5,10118.75,11014.5
Peter Bogdanovich,4.933333333333334,3,14.8,16765.0,3472.5,10118.75,11014.5
Rosie O'Donnell,4.933333333333334,3,14.8,16765.0,3472.5,10118.75,11014.5
Tatum O'Neal,4.933333333333334,3,14.8,16765.0,3472.5,10118.75,11014.5
Stephen Lang,4.933333333333334,3,14.8,16765.0,3472.5,10118.75,11014.5
Lori Heuring,4.933333333333334,3,14.8,16765.0,3472.5,10118.75,11014.5
Maggie Q,4.933333333333333,3,14.799999999999999,16769.0,3486.5,10127.75,11018.0
Cserhalmi György,4.46,5,22.3,18147.0,2132.0,10139.5,11020.0
Eliza Dushku,4.46,5,22.3,18147.0,2132.0,10139.5,11020.0
Paula Garcés,4.46,5,22.3,18147.0,2132.0,10139.5,11020.0
James Whitmore,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Robinson Stévenin,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Jordana Brewster,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Anne Winters,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Yılmaz Güney,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Steve Zissis,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Austin Butler,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Martin Kemp,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Beau Garrett,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Ennio Fantastichini,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Antonia Thomas,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
David Henrie,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Jake Abel,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Vir Das,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Tolepbergen Baisakalov,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Chunky Pandey,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Brad McMurray,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Cerina Vincent,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Shinya Tsukamoto,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Richmond Arquette,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Daryl Sabara,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Kristina Orbakayte,5.3,2,10.6,14816.5,5473.0,10144.75,11032.5
Barbara Shelley,4.699999999999999,4,18.799999999999997,17594.5,2700.5,10147.5,11044.5
Rosanna Schiaffino,4.699999999999999,4,18.799999999999997,17594.5,2700.5,10147.5,11044.5
Henry Silva,4.4399999999999995,5,22.2,18163.0,2146.5,10154.75,11046.0
Joanna Pettet,4.675000000000001,4,18.700000000000003,17605.5,2706.5,10156.0,11047.5
Georges Wilson,4.675000000000001,4,18.700000000000003,17605.5,2706.5,10156.0,11047.5
Sergei Makovetsky,4.675,4,18.7,17607.5,2717.5,10162.5,11049.5
Ashley Laurence,4.675,4,18.7,17607.5,2717.5,10162.5,11049.5
Robert Culp,4.1,7,28.7,18842.0,1490.0,10166.0,11051.0
Forrest Tucker,4.283333333333334,6,25.700000000000003,18600.0,1735.5,10167.75,11052.0
Jürgen Prochnow,4.9,3,14.700000000000001,16878.5,3488.5,10183.5,11053.0
Kevin Sorbo,4.65,4,18.6,17637.0,2734.5,10185.75,11055.0
Rolan Bykov,4.65,4,18.6,17637.0,2734.5,10185.75,11055.0
Constance Cummings,4.65,4,18.6,17637.0,2734.5,10185.75,11055.0
Robert Montgomery,4.071428571428572,7,28.500000000000004,18902.0,1504.0,10203.0,11057.0
JoBeth Williams,4.233333333333333,6,25.4,18632.5,1781.5,10207.0,11058.5
William Gargan,4.233333333333333,6,25.4,18632.5,1781.5,10207.0,11058.5
Mercedes Ruehl,4.625,4,18.5,17661.5,2757.0,10209.25,11060.0
Brian Aherne,4.057142857142858,7,28.400000000000002,18908.0,1511.5,10209.75,11061.0
Wallace Beery,4.216666666666667,6,25.3,18639.0,1793.0,10216.0,11062.0
Eric Stoltz,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
Giuseppe Battiston,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
Mischa Barton,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
Evan Adams,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
Shawn Roberts,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
James Cameron,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
Ian Somerhalder,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
W.C. Fields,4.8999999999999995,3,14.7,16981.5,3499.5,10240.5,11066.5
Victor Mature,3.6636363636363636,11,40.3,19639.0,860.5,10249.75,11071.0
Denise Richards,4.866666666666667,3,14.600000000000001,16991.0,3513.5,10252.25,11072.0
Venyamin Smekhov,4.866666666666666,3,14.6,16992.5,3527.0,10259.75,11073.0
Dany Carrel,4.6,4,18.4,17751.0,2777.0,10264.0,11075.0
Arlene Dahl,4.6,4,18.4,17751.0,2777.0,10264.0,11075.0
Aleksey Chadov,4.6,4,18.4,17751.0,2777.0,10264.0,11075.0
Margot Kidder,4.340000000000001,5,21.700000000000003,18354.5,2197.5,10276.0,11077.5
Katharine Ross,4.340000000000001,5,21.700000000000003,18354.5,2197.5,10276.0,11077.5
Patty Duke,4.34,5,21.7,18356.0,2207.0,10281.5,11079.0
Gabriele Tinti,4.183333333333334,6,25.1,18752.5,1819.5,10286.0,11080.5
Gene Raymond,4.183333333333334,6,25.1,18752.5,1819.5,10286.0,11080.5
Andrea Occhipinti,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Gösta Ekman,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
James Faulkner,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Natalia Oreiro,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Jessica Walter,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Nick Chinlund,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Samantha Ferris,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Chad Michael Murray,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Noémie Lvovsky,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Steven Mackintosh,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
James Darren,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Danai Skiadi,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Meat Loaf,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Elanne Kwong,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Mari Blanchard,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Alison Doody,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Bruce Campbell,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Scottie Thompson,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Mélanie Doutey,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
Vanessa Incontrada,5.25,2,10.5,15081.5,5503.0,10292.25,11097.0
