actor2,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Chai Fonacier,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Daniel Gadi,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Dylan Bruce,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Andrew Jenks,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Nam June Paik,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Geoffrey MacKay,10.0,1,10.0,33.0,5709.0,2871.0,475.5
K.K. Downing,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Greg LeMond,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Donatello Brida,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Pamela Craig,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Johanna Bittenbinder,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Ailín Salas,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Aigars Apinis,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Dolores Santamaria,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Jackie Raynal,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Luciano Piergiovanni,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Charlotte Anne Bongaerts,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Christopher Titus,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Hayley Williams,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Yotam Ishay,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Tomonori Abe,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Phillip Clark,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Erzsébet Kútvölgyi,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Barry Keoghan,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Trevor Peacock,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Elias Palin,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Vadim Spiridonov,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Michael Mallone,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Big Jay Oakerson,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Cenk Uygur,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Emerson Collins,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Christian François,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Edward Fleming,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Chief Dave Beautiful Bald Eagle,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Aakar Kaushik,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Omar Khadr,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Giorgos Gerontidakis-Sempetadelis,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Joana Cartocci,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Geraldine James,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Masao Hayama,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Andrew Bowser,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Ketaki Mategaonkar,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Leslie Parrish,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Cameron Daddo,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Scott Hall,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Staz Nair,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Bertrand Beyern,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Frankie Boyle,10.0,1,10.0,33.0,5709.0,2871.0,475.5
Büsra Apaydin,10.0,1,10.0,33.0,5709.0,2871.0,475.5
